team,team_gender,country,discipline
CARRINGTON Lisa / REGAL Caitlin,W,New Zealand,Canoe Sprint
People's Republic of China,X,China,Shooting
Romania,W,Romania,Rowing
United States of America,W,United States,Swimming
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
People's Republic of China,M,China,Swimming
Great Britain,X,Great Britain,Swimming
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
United States of America,W,United States,Swimming
United States of America,M,United States,Swimming
Australia,W,Australia,Swimming
Germany,W,Germany,Cycling Track
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
Romania,W,Romania,Rowing
United States of America,X,United States,Shooting
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
Australia,M,Australia,Swimming
Germany,W,Germany,Cycling Track
People's Republic of China,W,China,Swimming
South Africa,X,South Africa,Swimming
Italy,M,Italy,Swimming
Canada,W,Canada,Swimming
People's Republic of China,X,China,Swimming
Canada,W,Canada,Swimming
Australia,W,Australia,Swimming
Italy,W,Italy,Swimming
Great Britain,M,Great Britain,Swimming
United States of America,W,United States,Swimming
Australia,W,Australia,Swimming
Australia,W,Australia,Swimming
German Democratic Republic,W,German Dem. Republic,Swimming
United States of America,M,United States,Swimming
People's Republic of China,M,China,Swimming
Australia,W,Australia,Swimming
People's Republic of China,W,China,Swimming
United States of America,W,United States,Swimming
Spain,M,Spain,Canoe Sprint
United States of America,M,United States,Swimming
Hungary,W,Hungary,Swimming
Australia,W,Australia,Swimming
Great Britain,X,Great Britain,Swimming
Australia,X,Australia,Swimming
Netherlands,M,Netherlands,Rowing
Spain,M,Spain,Swimming
Australia,W,Australia,Swimming
United States of America,W,United States,Swimming
Hungary,M,Hungary,Swimming
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
France,M,France,Swimming
Germany,M,Germany,Rowing
Serbia,M,Serbia,Swimming
Hungary,W,Hungary,Canoe Sprint
India,X,India,Shooting
Unified Team,M,Unified Team,Swimming
RAUHE Ronald / WIESKOTTER Tim,M,Germany,Canoe Sprint
People's Republic of China,W,China,Swimming
Great Britain,M,Great Britain,Swimming
Australia,W,Australia,Swimming
Italy,M,Italy,Swimming
United States of America,M,United States,Swimming
Australia,M,Australia,Swimming
Great Britain,X,Great Britain,Swimming
Great Britain,M,Great Britain,Swimming
Australia,W,Australia,Swimming
Great Britain,M,Great Britain,Swimming
Sweden,W,Sweden,Swimming
Netherlands,M,Netherlands,Cycling Track
People's Republic of China,M,China,Swimming
United States of America,M,United States,Swimming
United States of America,W,United States,Swimming
Italy,M,Italy,Swimming
People's Republic of China,M,China,Swimming
United States of America,M,United States,Swimming
Great Britain,X,Great Britain,Swimming
Australia,W,Australia,Swimming
South Africa,W,South Africa,Swimming
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
Republic of Korea,W,Korea,Archery
United States of America,M,United States,Swimming
People's Republic of China,W,China,Swimming
Netherlands,M,Netherlands,Swimming
People's Republic of China,W,China,Rowing
People's Republic of China,W,China,Swimming
Germany,M,Germany,Canoe Sprint
People's Republic of China,X,China,Swimming
Australia,W,Australia,Swimming
United States of America,W,United States,Swimming
People's Republic of China,W,China,Swimming
Australia,W,Australia,Swimming
People's Republic of China,W,China,Swimming
Germany,W,Germany,Swimming
New Zealand,W,New Zealand,Swimming
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
Canada,M,Canada,Swimming
Australia,M,Australia,Swimming
United States of America,W,United States,Swimming
Australia,W,Australia,Swimming
Greece,M,Greece,Swimming
United States of America,M,United States,Swimming
Russian Federation,W,Russian Federation,Swimming
United States of America,W,United States,Swimming
People's Republic of China,X,China,Swimming
Australia,W,Australia,Swimming
People's Republic of China,W,China,Swimming
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
People's Republic of China,X,China,Swimming
United States of America,W,United States,Swimming
United States of America,W,United States,Swimming
Brazil,W,Brazil,Swimming
Australia,W,Australia,Swimming
United States of America,X,United States,Swimming
New Zealand,W,New Zealand,Rowing
Great Britain,M,Great Britain,Swimming
Republic of Korea,W,Korea,Archery
United States of America,M,United States,Swimming
Italy,W,Italy,Rowing
United States of America,X,United States,Swimming
People's Republic of China,W,China,Swimming
Australia,M,Australia,Rowing
United States of America,M,United States,Swimming
Israel,X,Israel,Swimming
Poland,W,Poland,Swimming
United States of America,M,United States,Swimming
XU Shixiao / SUN Mengya,W,China,Canoe Sprint
Australia,W,Australia,Swimming
Poland,W,Poland,Swimming
France,M,France,Swimming
German Democratic Republic,W,German Dem. Republic,Swimming
Australia,M,Australia,Swimming
Australia,W,Australia,Swimming
Italy,M,Italy,Swimming
Australia,W,Australia,Rowing
Ireland,M,Ireland,Rowing
People's Republic of China,X,China,Swimming
Federal Republic of Germany,M,FRG,Swimming
United States of America,M,United States,Rowing
United States of America,M,United States,Swimming
Australia,W,Australia,Rowing
People's Republic of China,W,China,Swimming
United States of America,M,United States,Swimming
Great Britain,X,Great Britain,Swimming
CARRINGTON Lisa / REGAL Caitlin,W,New Zealand,Canoe Sprint
United States of America,M,United States,Swimming
Great Britain,X,Great Britain,Swimming
Australia,X,Australia,Swimming
People's Republic of China,M,China,Swimming
Australia,W,Australia,Swimming
Australia,M,Australia,Swimming
New Zealand,M,New Zealand,Rowing
Australia,W,Australia,Swimming
Australia,W,Australia,Swimming
MENG Guanliang / YANG Wenjun,M,China,Canoe Sprint
Australia,M,Australia,Swimming
Romania,W,Romania,Rowing
Netherlands,M,Netherlands,Swimming
United States of America,W,United States,Swimming
Great Britain,X,Great Britain,Swimming
United States of America,W,United States,Swimming
United States of America,W,United States,Swimming
United States of America,X,United States,Swimming
Italy,M,Italy,Swimming
New Zealand,W,New Zealand,Swimming
United States of America,M,United States,Swimming
United States of America,X,United States,Swimming
United States of America,M,United States,Swimming
Denmark,W,Denmark,Swimming
Great Britain,W,Great Britain,Swimming
Great Britain,W,Great Britain,Rowing
Great Britain,M,Great Britain,Swimming
Lithuania,M,Lithuania,Swimming
People's Republic of China,W,China,Swimming
Republic of Korea,M,Korea,Swimming
France,M,France,Swimming
Great Britain,M,Great Britain,Swimming
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
United States of America,W,United States,Swimming
South Africa,W,South Africa,Swimming
United States of America,X,United States,Swimming
People's Republic of China,W,China,Swimming
United States of America,M,United States,Swimming
South Africa,M,South Africa,Swimming
People's Republic of China,X,China,Swimming
Australia,W,Australia,Swimming
KOROVASHKOV Alexey / SHTYL Ivan,M,Russian Federation,Canoe Sprint
People's Republic of China,W,China,Swimming
South Africa,M,South Africa,Swimming
United States of America,M,United States,Swimming
Netherlands,M,Netherlands,Rowing
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
Russian Federation,M,Russian Federation,Swimming
Netherlands,W,Netherlands,Swimming
Republic of Korea,X,Korea,Archery
VINCENT-LAPOINTE Laurence / VINCENT Katie,W,Canada,Canoe Sprint
Canada,W,Canada,Swimming
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
People's Republic of China,X,China,Shooting
United States of America,X,United States,Shooting
Australia,X,Australia,Swimming
United States of America,M,United States,Swimming
Australia,M,Australia,Swimming
People's Republic of China,W,China,Swimming
India,X,India,Shooting
United States of America,W,United States,Swimming
People's Republic of China,W,China,Swimming
United States of America,M,United States,Swimming
Australia,W,Australia,Swimming
Germany,W,Germany,Swimming
India,X,India,Shooting
United States of America,X,United States,Swimming
People's Republic of China,X,China,Swimming
United States of America,W,United States,Swimming
United States of America,M,United States,Swimming
Croatia,M,Croatia,Rowing
United States of America,M,United States,Swimming
Russian Federation,M,Russian Federation,Swimming
Netherlands,W,Netherlands,Swimming
Poland,W,Poland,Canoe Sprint
Republic of Korea,M,Korea,Archery
Australia,W,Australia,Swimming
United States of America,M,United States,Swimming
Republic of Korea,M,Korea,Archery
Italy,M,Italy,Swimming
Great Britain,X,Great Britain,Swimming
People's Republic of China,X,China,Shooting
Great Britain,M,Great Britain,Swimming
Italy,M,Italy,Cycling Track
Italy,M,Italy,Cycling Track
United States of America,M,United States,Swimming
Australia,W,Australia,Swimming
Serbia,M,Serbia,Swimming
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
Italy,W,Italy,Swimming
United States of America,M,United States,Swimming
United States of America,W,United States,Swimming
Kuwait,X,Kuwait,Shooting
New Zealand,W,New Zealand,Rowing
India,X,India,Shooting
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
Great Britain,X,Great Britain,Swimming
People's Republic of China,X,China,Swimming
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
United States of America,M,United States,Swimming
People's Republic of China,W,China,Swimming
Russian Federation,M,Russian Federation,Swimming
Germany,W,Germany,Swimming
United States of America,W,United States,Swimming
United States of America,M,United States,Swimming
Great Britain,M,Great Britain,Athletics
Australia,W,Australia,Athletics
Nigeria,W,Nigeria,Athletics
United States of America,M,United States,Athletics
German Democratic Republic,W,German Dem. Republic,Athletics
USSR,W,USSR,Athletics
People's Republic of China,W,China,Athletics
People's Republic of China,W,China,Athletics
Brazil,M,Brazil,Athletics
Australia,M,Australia,Athletics
Australia,M,Australia,Athletics
United States of America,W,United States,Athletics
United States of America,M,United States,Athletics
United States of America,W,United States,Athletics
Brazil,W,Brazil,Athletics
Australia,M,Australia,Athletics
United States of America,W,United States,Athletics
Jamaica,M,Jamaica,Athletics
Brazil,W,Brazil,Athletics
United States of America,M,United States,Athletics
Bahrain,X,Bahrain,Athletics
South Africa,M,South Africa,Athletics
Great Britain,M,Great Britain,Athletics
Japan,M,Japan,Athletics
Brazil,M,Brazil,Athletics
Australia,X,Australia,Athletics
Poland,X,Poland,Athletics
Botswana,M,Botswana,Athletics
South Africa,M,South Africa,Athletics
United States of America,X,United States,Athletics
Jamaica,W,Jamaica,Athletics
United States of America,X,United States,Athletics
Côte d'Ivoire,W,Côte d'Ivoire,Athletics
India,M,India,Athletics
Colombia,X,Colombia,Athletics
Australia,W,Australia,Athletics
Kenya,X,Kenya,Athletics
Medvedev / Safiullin,M,AIN,Tennis
Gonzalez / Molteni,M,Argentina,Tennis
Etcheverry / Navone,M,Argentina,Tennis
Popyrin / de Minaur,M,Australia,Tennis
Ebden / Peers,M,Australia,Tennis
Gille / Vliegen,M,Belgium,Tennis
Monteiro / Seyboth Wild,M,Brazil,Tennis
Auger-Aliassime / Raonic,M,Canada,Tennis
Jarry / Tabilo,M,Chile,Tennis
Mektic / Pavic,M,Croatia,Tennis
Machac / Pavlasek,M,Czechia,Tennis
Alcaraz / Nadal,M,Spain,Tennis
Carreno Busta / Granollers,M,Spain,Tennis
Monfils / Roger-Vasselin,M,France,Tennis
Fils / Humbert,M,France,Tennis
Salisbury / Skupski,M,Great Britain,Tennis
Evans / Murray,M,Great Britain,Tennis
Krawietz / Puetz,M,Germany,Tennis
Koepfer / Struff,M,Germany,Tennis
Tsitsipas / Tsitsipas,M,Greece,Tennis
Fucsovics / Marozsan,M,Hungary,Tennis
Balaji / Bopanna,M,India,Tennis
Darderi / Musetti,M,Italy,Tennis
Bolelli / Vavassori,M,Italy,Tennis
Daniel / Nishikori,M,Japan,Tennis
Bublik / Nedovyesov,M,Kazakhstan,Tennis
Habib / Hassan,M,Lebanon,Tennis
Griekspoor / Koolhof,M,Netherlands,Tennis
Haase / Rojer,M,Netherlands,Tennis
Hurkacz / Zielinski,M,Poland,Tennis
Borges / Cabral,M,Portugal,Tennis
Fritz / Paul,M,United States,Tennis
Krajicek / Ram,M,United States,Tennis
Alexandrova / Vesnina,W,AIN,Tennis
Andreeva / Shnaider,W,AIN,Tennis
Carle / Podoroska,W,Argentina,Tennis
Perez / Saville,W,Australia,Tennis
Gadecki / Tomljanovic,W,Australia,Tennis
Haddad Maia / Stefani,W,Brazil,Tennis
Dabrowski / Fernandez,W,Canada,Tennis
Yuan / Zhang,W,China,Tennis
Wang / Zheng,W,China,Tennis
Muchova / Noskova,W,Czechia,Tennis
Krejcikova / Siniakova,W,Czechia,Tennis
Bucsa / Sorribes Tormo,W,Spain,Tennis
Garcia / Parry,W,France,Tennis
Burel / Gracheva,W,France,Tennis
Boulter / Watson,W,Great Britain,Tennis
Kerber / Siegemund,W,Germany,Tennis
Korpatsch / Maria,W,Germany,Tennis
Papamichail / Sakkari,W,Greece,Tennis
Errani / Paolini,W,Italy,Tennis
Bronzetti / Cocciaretto,W,Italy,Tennis
Aoyama / Shibahara,W,Japan,Tennis
Rus / Schuurs,W,Netherlands,Tennis
Routliffe / Sun,W,New Zealand,Tennis
Linette / Rosolska,W,Poland,Tennis
Begu / Niculescu,W,Romania,Tennis
Bogdan / Cristian,W,Romania,Tennis
Hsieh / Tsao,W,Chinese Taipei,Tennis
Chan / Chan,W,Chinese Taipei,Tennis
Kostyuk / Yastremska,W,Ukraine,Tennis
Kichenok / Kichenok,W,Ukraine,Tennis
Gauff / Pegula,W,United States,Tennis
Collins / Krawczyk,W,United States,Tennis
Andreeva / Medvedev,X,AIN,Tennis
Podoroska / Gonzalez,X,Argentina,Tennis
Perez / Ebden,X,Australia,Tennis
Stefani / Seyboth Wild,X,Brazil,Tennis
Dabrowski / Auger-Aliassime,X,Canada,Tennis
Wang / Zhang,X,China,Tennis
Vekic / Pavic,X,Croatia,Tennis
Siniakova / Machac,X,Czechia,Tennis
Wozniacki / Rune,X,Denmark,Tennis
Sorribes Tormo / Granollers,X,Spain,Tennis
Garcia / Roger-Vasselin,X,France,Tennis
Watson / Salisbury,X,Great Britain,Tennis
Siegemund / Zverev,X,Germany,Tennis
Sakkari / Tsitsipas,X,Greece,Tennis
Errani / Vavassori,X,Italy,Tennis
Shibahara / Nishikori,X,Japan,Tennis
Schuurs / Koolhof,X,Netherlands,Tennis
Golubic / Wawrinka,X,Switzerland,Tennis
Gauff / Fritz,X,United States,Tennis
Australia,X,Australia,Triathlon
Austria,X,Austria,Triathlon
Belgium,X,Belgium,Triathlon
Brazil,X,Brazil,Triathlon
Spain,X,Spain,Triathlon
France,X,France,Triathlon
Great Britain,X,Great Britain,Triathlon
Germany,X,Germany,Triathlon
Italy,X,Italy,Triathlon
Mexico,X,Mexico,Triathlon
Netherlands,X,Netherlands,Triathlon
Norway,X,Norway,Triathlon
New Zealand,X,New Zealand,Triathlon
Portugal,X,Portugal,Triathlon
Switzerland,X,Switzerland,Triathlon
United States of America,X,United States,Triathlon
Australia,M,Australia,Table Tennis
Brazil,M,Brazil,Table Tennis
Canada,M,Canada,Table Tennis
People's Republic of China,M,China,Table Tennis
Croatia,M,Croatia,Table Tennis
Denmark,M,Denmark,Table Tennis
Egypt,M,Egypt,Table Tennis
France,M,France,Table Tennis
Germany,M,Germany,Table Tennis
India,M,India,Table Tennis
Japan,M,Japan,Table Tennis
Republic of Korea,M,Korea,Table Tennis
Portugal,M,Portugal,Table Tennis
Slovenia,M,Slovenia,Table Tennis
Sweden,M,Sweden,Table Tennis
Chinese Taipei,M,Chinese Taipei,Table Tennis
Australia,W,Australia,Table Tennis
Brazil,W,Brazil,Table Tennis
People's Republic of China,W,China,Table Tennis
Egypt,W,Egypt,Table Tennis
France,W,France,Table Tennis
Germany,W,Germany,Table Tennis
"Hong Kong, China",W,"Hong Kong, China",Table Tennis
India,W,India,Table Tennis
Japan,W,Japan,Table Tennis
Republic of Korea,W,Korea,Table Tennis
Poland,W,Poland,Table Tennis
Romania,W,Romania,Table Tennis
Sweden,W,Sweden,Table Tennis
Thailand,W,Thailand,Table Tennis
Chinese Taipei,W,Chinese Taipei,Table Tennis
United States of America,W,United States,Table Tennis
LUM Nicholas / JEE Minhyung,X,Australia,Table Tennis
ISHIY Vitor / TAKAHASHI Bruna,X,Brazil,Table Tennis
WANG Chuqin / SUN Yingsha,X,China,Table Tennis
CAMPOS Jorge / FONSECA Daniela,X,Cuba,Table Tennis
ASSAR Omar / MESHREF Dina,X,Egypt,Table Tennis
ROBLES Alvaro / XIAO Maria,X,Spain,Table Tennis
LEBRUN Alexis / YUAN Jia Nan,X,France,Table Tennis
QIU Dang / MITTELHAM Nina,X,Germany,Table Tennis
WONG Chun Ting / DOO Hoi Kem,X,"Hong Kong, China",Table Tennis
ECSEKI Nandor / MADARASZ Dora,X,Hungary,Table Tennis
HARIMOTO Tomokazu / HAYATA Hina,X,Japan,Table Tennis
LIM Jonghoon / SHIN Yubin,X,Korea,Table Tennis
RI Jong Sik / KIM Kum Yong,X,DPR Korea,Table Tennis
IONESCU Ovidiu / SZOCS Bernadette,X,Romania,Table Tennis
KARLSSON Kristian / KALLBERG Christina,X,Sweden,Table Tennis
LIN Yun-Ju / CHEN Szu-Yu,X,Chinese Taipei,Table Tennis
Hodges/Schubert,M,Australia,Beach Volleyball
Nicolaidis/Carracher,M,Australia,Beach Volleyball
Horl/Horst,M,Austria,Beach Volleyball
George/Andre,M,Brazil,Beach Volleyball
Evandro/Arthur,M,Brazil,Beach Volleyball
Schachter/Dearing,M,Canada,Beach Volleyball
M.Grimalt/E.Grimalt,M,Chile,Beach Volleyball
Diaz/Alayo,M,Cuba,Beach Volleyball
Perusic/Schweiner,M,Czechia,Beach Volleyball
Herrera/Gavira,M,Spain,Beach Volleyball
Krou/Gauthier-Rat,M,France,Beach Volleyball
Bassereau/Lyneel,M,France,Beach Volleyball
Ehlers/Wickler,M,Germany,Beach Volleyball
Cottafava/Nicolai,M,Italy,Beach Volleyball
Ranghieri/Carambula,M,Italy,Beach Volleyball
Abicha/Elgraoui,M,Morocco,Beach Volleyball
Boermans/de Groot,M,Netherlands,Beach Volleyball
van de Velde/Immers,M,Netherlands,Beach Volleyball
Mol/Sorum,M,Norway,Beach Volleyball
Bryl/Losiak,M,Poland,Beach Volleyball
Cherif/Ahmed,M,Qatar,Beach Volleyball
Ahman/Hellvig,M,Sweden,Beach Volleyball
Partain/Benesh,M,United States,Beach Volleyball
Evans/Budinger,M,United States,Beach Volleyball
Mariafe/Clancy,W,Australia,Beach Volleyball
Ana Patricia/Duda,W,Brazil,Beach Volleyball
Carol/Barbara,W,Brazil,Beach Volleyball
Melissa/Brandie,W,Canada,Beach Volleyball
Bansley/Bukovec,W,Canada,Beach Volleyball
Xue/X.Y.Xia,W,China,Beach Volleyball
Hermannova/Stochlova,W,Czechia,Beach Volleyball
Marwa/D. Elghobashy,W,Egypt,Beach Volleyball
Alvarez M/Moreno,W,Spain,Beach Volleyball
Liliana/Paula,W,Spain,Beach Volleyball
Vieira/Chamereau,W,France,Beach Volleyball
Placette/Richard,W,France,Beach Volleyball
Muller/Tillmann,W,Germany,Beach Volleyball
Ludwig/Lippmann,W,Germany,Beach Volleyball
Gottardi/Menegatti,W,Italy,Beach Volleyball
Akiko/Ishii,W,Japan,Beach Volleyball
Tina/Anastasija,W,Latvia,Beach Volleyball
Paulikiene/Raupelyte,W,Lithuania,Beach Volleyball
Stam/Schoon,W,Netherlands,Beach Volleyball
Poletti/Michelle,W,Paraguay,Beach Volleyball
Huberli/Brunner,W,Switzerland,Beach Volleyball
Esmee/Zoe,W,Switzerland,Beach Volleyball
Nuss/Kloth,W,United States,Beach Volleyball
Hughes/Cheng,W,United States,Beach Volleyball
Argentina,M,Argentina,Volleyball
Brazil,M,Brazil,Volleyball
Canada,M,Canada,Volleyball
Egypt,M,Egypt,Volleyball
France,M,France,Volleyball
Germany,M,Germany,Volleyball
Italy,M,Italy,Volleyball
Japan,M,Japan,Volleyball
Poland,M,Poland,Volleyball
Slovenia,M,Slovenia,Volleyball
Serbia,M,Serbia,Volleyball
United States of America,M,United States,Volleyball
Brazil,W,Brazil,Volleyball
People's Republic of China,W,China,Volleyball
Dominican Republic,W,Dominican Republic,Volleyball
France,W,France,Volleyball
Italy,W,Italy,Volleyball
Japan,W,Japan,Volleyball
Kenya,W,Kenya,Volleyball
Netherlands,W,Netherlands,Volleyball
Poland,W,Poland,Volleyball
Serbia,W,Serbia,Volleyball
Türkiye,W,Türkiye,Volleyball
United States of America,W,United States,Volleyball
Australia,M,Australia,Water Polo
Croatia,M,Croatia,Water Polo
Spain,M,Spain,Water Polo
France,M,France,Water Polo
Greece,M,Greece,Water Polo
Hungary,M,Hungary,Water Polo
Italy,M,Italy,Water Polo
Japan,M,Japan,Water Polo
Montenegro,M,Montenegro,Water Polo
Romania,M,Romania,Water Polo
Serbia,M,Serbia,Water Polo
United States of America,M,United States,Water Polo
Australia,W,Australia,Water Polo
Canada,W,Canada,Water Polo
People's Republic of China,W,China,Water Polo
Spain,W,Spain,Water Polo
France,W,France,Water Polo
Greece,W,Greece,Water Polo
Hungary,W,Hungary,Water Polo
Italy,W,Italy,Water Polo
Netherlands,W,Netherlands,Water Polo
United States of America,W,United States,Water Polo
